Molar_Mass (g/mol),Number_of_Atoms (n),Temperature (K),Concentration (mol/L),Heat_Capacity (J/molÂ·K)
118.61663446573512,45,424.31058568474145,0.919563017038139,435.9010698827844
285.7071488588757,32,333.9548765688364,0.7921837907528458,392.2152790969787
222.27824312530748,30,507.9167621459479,0.03279237873976114,450.35000610824375
183.6109604171406,47,129.08435599868542,0.6548535388783636,280.4128236165332
55.245405728306594,35,351.78715645205114,0.7735342018345406,360.2380127472494
55.23841089749877,40,470.0860487849676,0.3806910160232178,443.6798203162817
26.844247528777842,16,642.5036938209687,0.0782323239735466,437.3721472924667
261.19108227473123,13,343.86187826361686,0.08654785483389937,320.84004767464285
184.32335340553055,50,219.86661270137472,0.11320449639129139,343.17916947759403
215.34104756085318,42,168.58034163924685,0.8420352356606187,310.98597312086156
15.969503345782709,30,946.478644421845,0.9115793362731559,610.751048703624
291.2738571269783,19,474.97515196463127,0.13158267402727647,428.11409958254876
251.4083658321223,17,623.0463590627437,0.24354697424913038,499.91836145171783
71.57834209670008,19,927.2588966520036,0.17386530526361688,616.9737724187968
62.729240490059176,28,174.4735780317755,0.1944576706991795,247.32147723697588
63.18730785749581,26,888.9953373332135,0.8391158811124672,619.7982017200562
98.23025045826594,37,596.429085289663,0.33882494852838957,475.3473511528755
162.17936517334897,26,248.35083502330085,0.3183298214051848,299.4157273977368
135.26405540621357,23,470.12960492683214,0.2351216646683415,400.05046217407386
94.45645065743216,9,799.842055361703,0.6118154498563161,537.4331479170104
187.43733946949004,12,532.3330736797192,0.38551264140169333,429.92512488026136
50.45321958909213,1,986.757445598954,0.746807155324856,598.8658289240625
94.72194807521326,1,439.06507294414666,0.21352401029188112,328.38106206988544
116.24493455517059,47,774.6204699784648,0.7899119898273474,617.8503444794458
142.26029542294043,34,453.6905040809732,0.6076843164128376,422.508989131172
237.70102880397394,32,846.247798635863,0.12312462705513086,626.1517773601486
67.90539682592433,48,612.1733222491729,0.4203595383615914,517.2538217974239
159.12798713994738,25,157.1606466310012,0.8648829592068273,264.3606497114729
181.8002249699923,40,133.13968087239223,0.9237306294805,286.31257415847693
23.47061968879934,45,220.46690692056987,0.4710431210956251,294.14235419952524
186.18800705141712,1,112.30476834429756,0.48602860830818284,195.19528884611887
59.451995869314544,16,167.82315431721608,0.9192701776899082,235.8614786635948
28.86496196573106,39,722.5429574520208,0.5911975418952016,534.6958403594358
285.17680580346666,5,580.9116475265168,0.04251820354100397,462.37761521949244
290.03328959162224,22,774.9196745229747,0.9136219682503376,586.4400838248747
244.43523095377373,29,921.8491770318785,0.25574417832958035,665.3355222444202
98.3379930602775,3,626.6345790929248,0.5818556345506317,450.8626743719986
38.32491306185132,12,753.5087596646632,0.1738581842536941,494.28164318213175
208.4275776885255,26,781.3730818382103,0.04354036864412904,570.233204430338
137.64422318448436,16,440.0654943482078,0.31835843942142983,373.5916823392549
45.39108810498586,37,316.9763490966686,0.7826907504706268,331.05290751130235
153.60130393226837,22,284.54079565587244,0.28481130090312395,305.47420890049807
19.972671123413335,29,326.29819556061864,0.2278962419402861,301.46523427395493
273.7029166028468,14,347.25861732331794,0.22055397649781402,337.84076475097555
85.0461946640049,28,286.5048841072508,0.5200219455827445,317.4810541090003
202.13146246265478,5,890.3986007312731,0.9757859025259287,596.0933722035522
100.39621206592918,47,781.2992189550058,0.46439909813684294,604.1054974789186
160.81972614156513,49,142.20682101209792,0.5617323152011474,307.28840074211485
168.5459810095511,30,341.8052338227766,0.8620256977118266,362.2840975670196
63.60779210240284,46,119.96626782727147,0.5397190217443221,267.58763409481713
291.17954205172197,5,548.3486679813036,0.19261824270466754,443.62209658187163
234.78851877472323,12,528.5896271101128,0.3065999526488123,431.259033632697
282.45469305361485,16,848.2343410562511,0.3168375570059248,592.5525432242902
269.49993162401813,26,376.9995157939445,0.40334493430302193,378.29723054247455
183.3909938552147,26,834.7471616917561,0.4325210162833819,601.5066733020465
277.3435281567039,48,971.1763888958408,0.8017842018535267,724.288556287207
35.66282559505665,21,179.5674010290819,0.3558931290588397,214.7835498689759
66.8350301015521,39,812.6360555226696,0.47354951015696556,595.6532792777562
23.11591378405604,36,630.9603074238725,0.6287262271805417,470.0684748849831
104.34579592134666,33,532.0413703166275,0.3839486879657676,453.9501394851485
122.71641400994979,30,478.4822007985676,0.8381991651594096,439.733869080086
88.69121921442981,37,806.2014375498786,0.5915790681917336,592.7820033729867
250.3338776540595,23,675.4252212768181,0.30110423242876183,512.9393413528281
113.45846474114089,10,824.5402007674257,0.71691860779193,553.7362820523059
91.47100780934042,5,912.8359528089636,0.532371252843338,592.3464927923252
167.38186411589206,36,655.5373408875628,0.5391113323446745,539.9344318136871
50.86802524268117,34,982.4164525831401,0.4862770689037101,667.4882569166751
242.6371244186715,31,647.2790645876967,0.5020418293330364,521.7020586576755
31.61968666713354,10,672.9798894600543,0.7677027182555782,458.03049615308277
296.19721161415004,19,599.3340476880031,0.11195166453800236,490.8311684679432
233.95098309603065,32,181.90188194619725,0.34101918319737734,287.7847069928321
67.62754764491,1,753.7573293852055,0.08474833016585033,484.6608322583246
11.601413965844696,5,592.7016762092004,0.7557137585399764,395.390169934101
246.48381425190192,45,505.819402674494,0.2795788361730965,475.9891551609139
214.98862971580897,4,919.4241505629457,0.8984561057206953,593.9103981884039
221.4120787318863,16,368.16350638775543,0.5313126819927009,370.22456373189397
233.66840053892426,24,571.24204841351,0.8027422737712598,489.36207012700453
31.472949002886203,16,727.877684344117,0.9791421212598016,487.3888005256644
113.95506127783905,2,816.8245981064896,0.8413909708620049,538.0913952271919
43.60202726228762,49,513.4121271515552,0.8683238224114083,445.5175424508897
260.2999935039221,28,857.8822735168387,0.4139046504111963,629.0155756647383
190.7564567799918,32,792.0259671838577,0.5562053693067464,608.5091124144124
105.96042720726827,27,159.61238006667926,0.26134967840287127,247.57028080414594
28.431921582946853,20,141.27513976416964,0.20415196869651828,205.1379221907209
100.18487329754204,24,658.7251159798822,0.5104528003149734,502.279754870995
104.30316338775664,12,412.6720674028728,0.5990984899034164,358.2877297904629
221.5857917180386,50,288.2177119706628,0.3458785334372291,377.74479541438257
194.8916666930118,35,621.6849410245645,0.5737490825858653,514.8448157279361
267.2916953471347,33,407.4068894108905,0.8885858776883679,399.83009298766626
146.9423282969653,33,583.537075042663,0.5611543689355324,482.4643917178082
44.682331322107494,43,514.1072430852148,0.7236049653474016,456.91397955246174
216.84098829466856,37,626.2894953542383,0.807261817684326,520.4031517153293
230.62766409890025,12,460.2704400192532,0.9888414941358884,392.2407325718269
172.7703872951539,3,727.9008163272385,0.6071654281552098,511.22304747886153
233.58048218682268,1,262.06054511436867,0.8087816474729601,281.4839393313686
153.2007229456733,33,726.851319604371,0.9630228253693259,571.7482449603892
161.59252052077827,40,470.4950929217753,0.9449656283215007,440.19194387094336
133.9868953239794,10,886.8858443689754,0.14967103028993645,613.0237619573619
17.371546755787605,43,563.7124493777898,0.4123283851907868,431.1928153948688
41.28851382805829,44,975.7993143430939,0.33075016049573164,673.7642405574026
19.114463849152934,29,641.7418559868642,0.09605576480084582,452.0060636341997
194.5590192664963,13,301.46415931568856,0.636908367161851,303.00313710552365
101.16323451213474,12,839.6115731600042,0.7385455670640423,562.9075329102848
157.4855004377638,31,410.57436504014805,0.8496468145122147,402.5000615069356
273.194277438567,46,412.85729303441514,0.1315491207660814,433.4989851327119
82.29474645317373,2,128.6242133366486,0.8776796351165409,196.71882102335636
129.01104768033264,50,593.8437782866678,0.6464963079781108,523.268045809178
229.10983017748413,35,580.9811533592707,0.7069066737871244,490.0019341158521
76.35146799257052,23,420.3923358447875,0.9115177635049009,359.43377169638615
32.324173850349965,17,904.7955366063331,0.6285136583328186,585.6399399607144
94.02792134499273,26,215.87355846967952,0.3425071985783367,262.0839377373372
56.75417330366128,8,397.0895619791399,0.8268562581084332,326.9458341023502
279.6123191793462,29,389.4244882120261,0.36942862007313965,401.68818389843926
244.3549100736809,26,183.06152760587148,0.04388582971232383,271.481611409396
193.6870893880228,10,533.0308546506639,0.8323479614995972,435.40238566743267
262.7235711544381,26,719.0062453864747,0.35174022343246286,537.1201491693784
243.0649023007432,34,560.4913121925351,0.7760961779693268,496.30441959935564
64.1053170769504,41,241.27991444457436,0.369130315719286,309.9358637986425
268.8421095620935,7,439.5573687178653,0.8624573397749744,381.06638434878715
166.4092501555387,4,102.3355219452819,0.2273154198301491,177.5232016591138
244.15764499757813,50,881.4709963320281,0.9748017925468813,678.5586486156114
269.866476977813,45,176.06530691261372,0.7819611870401505,341.9884682510749
102.22100774184052,11,637.5502740298875,0.12309554666119286,469.83607286652193
41.91505811302626,29,987.6312962801336,0.5701188537668949,658.32881117643
76.10119713716308,36,582.9315813885993,0.9855136391193173,491.0210080170362
133.86125870161433,25,931.6375831966898,0.47635479816687626,651.4625720454281
247.224282117523,21,312.5048798056639,0.19028606743336743,334.6791371890579
259.6118691443396,36,783.9598680438271,0.4899305834788427,608.3349679918393
12.016117854045305,10,578.1391785761807,0.5173330793231024,361.67405887757786
158.11671774749405,37,748.4644552523183,0.7442700747863789,581.3613091116615
131.0491909131459,9,156.1072262601173,0.7018573946292954,236.79564846852523
74.41126503651178,24,232.96518271560402,0.4085245431610107,269.7009478608036
44.76095652676801,35,219.80523572873042,0.22584287641914563,287.42586500892355
107.90839970705211,49,718.448954862998,0.6486036260916361,581.6584389888566
283.44381413463054,35,859.9966053702659,0.427486895207749,631.5948009068208
103.72885028601901,48,774.6546088077287,0.14095344901407708,589.7081509021707
160.44928030557617,36,127.42493746023474,0.9015665782240218,280.8706102612115
213.87549807960158,18,880.493482967251,0.6943096390335578,622.8499302526628
115.45258468999525,49,418.7320037138129,0.6863520178810266,433.9686608533433
291.8168039890786,39,457.4474492536742,0.8243580371525572,454.13014240042804
289.10971553321224,32,194.3822498792328,0.5343650618685303,310.31061169936726
83.0168657893556,24,763.6646854844372,0.8169038841184325,557.2804388118157
154.2020667087918,23,264.05549062836224,0.5031098459758957,323.773973174317
97.25470984686321,32,607.5685828169528,0.07650364591655298,498.21950515274256
92.6037433694656,37,856.638987290138,0.4111956071474119,623.3592878739099
20.69721473281451,12,180.28389584085056,0.5024902450400917,193.19751189837632
186.7736568541701,49,581.8020076139712,0.7230005558159728,528.3409267579692
155.77691673636983,13,309.8947703948211,0.11551294282738761,313.53434227006244
24.928837862496913,23,408.63417785043424,0.1486183532738445,337.38457390700427
90.80747462861731,25,526.5729472875005,0.27104696460827027,441.7953497091739
273.3971069303296,35,419.5938729513743,0.2738334094371734,443.96596134956445
79.47294829342201,41,683.9405562624185,0.7348627326744718,538.6517764297021
52.01951290645469,30,531.6238915788251,0.2582233539559818,448.743500827079
151.94130048049328,17,625.7795362427523,0.6367670827238731,490.56718804644345
295.8386316920742,49,763.1402278554216,0.4993311116368887,625.8005487038805
80.19602873833512,20,601.9680393553937,0.5775614343976067,471.35713232702614
204.91930874770478,48,627.8818911946831,0.8397258935465128,568.2600946916608
230.8696884453281,25,608.0126882703771,0.4103376865335341,489.5531023601442
78.91488775779591,22,440.89536335616043,0.7732022632936277,398.71110437417633
221.18274109743928,13,403.7021504847263,0.42781569895518046,377.85479150808357
116.65710848858343,19,909.6826574305111,0.36033266279563697,639.1112200034642
193.36869087213805,49,646.7997000642156,0.9590409055400884,558.3648403168274
193.72361612065947,36,319.9178399181891,0.19252721147217358,362.01073673894894
165.37465838167995,12,548.4229280640461,0.09943359097183178,406.6445175621515
36.18403331577841,41,397.3136331528226,0.7732760662801237,383.81696526757827
252.23772372087902,19,940.3226413838871,0.07756720830055067,650.9488051045603
103.0262188418034,12,106.78092682066726,0.8387082007959991,196.02219639541136
64.09036801595772,9,302.79951794127544,0.4428214623936711,277.0168184715452
21.824791050881537,7,428.8211377066519,0.9163585405189949,301.53810735269144
181.35895352459013,28,539.0288207278641,0.7243175325106865,474.75399111803273
206.4936649342619,14,865.7357660525316,0.614300620337878,595.3706378255129
14.810470389078283,31,179.0988620861295,0.949813729087188,259.37141822416163
158.5069869067915,19,825.2783980670291,0.40268287932153374,579.5549816640355
75.683774807402,47,150.0881404212778,0.9545460671742367,279.15743752272454
197.10010921874047,16,858.0826317683634,0.14365126464699488,590.4474915504803
60.56626441144752,5,146.47193008706154,0.48891739251308863,176.59898033281542
210.37194404971513,35,116.41823328552493,0.27721211016827296,269.5258848064972
122.15325042715585,12,727.2653161297794,0.5444443511191115,509.01001476523646
281.651696733653,25,997.5299812915549,0.17039373911266878,702.7982356805192
49.881073802338044,21,906.9492366766187,0.8431143637069429,598.8993282309694
108.90924180457496,36,618.3985760250939,0.8479437708214117,520.7860191224642
42.90732115977083,23,925.6560517769785,0.9556839495962441,619.9354845720906
278.1611493007832,16,104.77000575784487,0.16312541947440387,227.00724032806332
264.4284124804845,39,977.5604466506283,0.6270992253959409,728.2928055132251
84.80307203739513,45,541.6739013329061,0.4794949356133659,486.1631288579027
201.39537334991192,42,750.6064869595981,0.3509398947237909,624.9065208831005
246.99443805835259,39,838.7753258380174,0.35802475952287666,634.607503524257
171.00823536384408,14,746.6115437528982,0.41866561510068473,534.8013819661777
163.59866772324187,31,581.5330588404195,0.7078762941920635,502.9677894881027
80.13716436113098,5,528.9575357137708,0.602303197685473,374.65991474082296
36.99980266371077,35,854.7243028323622,0.4650846976335198,605.4552485052614
270.19256980646475,23,284.5698041345132,0.08517407626592587,333.5080435637858
271.12123657736583,29,971.1946598538108,0.0869876906381675,675.6492514859365
193.5994226092477,43,739.8572309530734,0.012315996719520477,574.0661586694152
108.3186394041232,11,279.5562346044878,0.9680223943250156,281.8603777190053
111.27077663767166,18,762.6224653286394,0.015201280372801065,512.414216242373
220.52714687236943,47,576.856020863005,0.11206280855360742,513.553764139531
270.1619753862474,12,736.50708608,0.3214505912413168,541.669154484913
267.255063036884,9,791.0015512985549,0.8093559492985936,556.5364160993738
236.1639082987109,10,178.5611616307079,0.9624777979064765,269.4016380748322
196.18917738474346,44,555.4935607234123,0.7921134232039375,522.2443752327965
34.40058984856417,17,938.8129080312407,0.6936546301211842,611.5512879179132
56.872327087437995,38,388.5779729435628,0.5260876607394337,378.8764941793676
270.580714672853,7,634.4947878021089,0.09583815974356176,448.97324388448527
185.86442730128107,46,432.3074333589065,0.9585890850738911,441.32807067161735
12.667144968822598,13,508.8411749971897,0.7608084898062246,350.08357790496024
39.42674743114931,40,593.7428061443379,0.6425598914809192,466.2194368616197
202.4155130413362,42,594.0297819000796,0.7614454870834614,519.9923555644423
11.46785931540342,9,281.55741609721224,0.7268622959804072,243.13671270451457
56.63433491107461,50,716.1143930918499,0.640859263991592,548.9234095196334
169.13279891630998,27,179.08130011839114,0.9807710321781883,299.7323859110193
210.64960733088105,2,224.94229609781834,0.9043301745096647,268.1166171200502
199.06876525575416,5,102.4398094728967,0.6501982699259917,202.74531349557168
75.03809974356234,29,205.0264577275132,0.6962434593423555,268.28939742803647
216.5319741907854,37,525.849580946703,0.0610798485921229,463.2395410876432
78.80223537407203,38,645.4916929502548,0.6732182899045388,498.38938633210404
104.36591246618764,19,814.8605049698162,0.053723783332999174,579.33272295109
226.482507484227,8,196.02932510209246,0.5923811194002317,270.8812821530518
198.39354072369224,48,865.6547140148092,0.9993599645701765,657.0144263043875
256.2747890433116,45,771.3770729938464,0.5602485156228079,614.4209982916849
200.70773876709958,1,467.6664636423252,0.47847801690052005,377.4957050309454
174.80949496728678,22,939.6442603899592,0.31972630794053164,643.1167214121886
37.16568267014682,17,991.8365288116515,0.1293173529985998,602.4093360314662
116.63758288723572,7,284.5016290479135,0.7337134347436988,275.987009895826
86.90868662770038,25,441.30572646742036,0.20067303750777413,403.79138630071026
80.75699657993424,45,933.8044812307401,0.12412920103481152,662.0298618041252
292.17306087820924,4,749.4368956761494,0.4275450331332074,527.2928823260526
123.99834015336052,36,143.28517956767894,0.7973884195795065,260.67140423066695
268.69350100136285,6,803.3630335762734,0.7476139026390182,566.8745688800783
193.03020153920625,31,845.1467984597427,0.06433378850001018,617.9394216381556
240.49527802707803,19,775.4517322887822,0.46059224818579453,559.9791025949299
155.7647570005057,44,819.5834178275641,0.5272102303104572,616.2259297882144
177.30212654164413,39,842.6194090235175,0.648101184119564,649.2825302690366
152.83013120747054,27,267.7644881093297,0.6536656769387958,304.09664303410335
66.6204664614329,10,312.1225714584998,0.3710502769627328,289.7852413188675
219.51111342583656,26,670.3827073481596,0.5650704220634789,506.0883369944779
91.42398510784818,19,917.0795174162644,0.4862512650056456,621.3620847672448
17.051630265121613,39,384.57692406684515,0.8861483729580483,359.759080032634
197.18696581307867,3,629.476008215551,0.5349624813085512,469.139274629798
61.3620970280442,45,714.6838570754192,0.44662184013068,553.1158705605827
282.73298946234513,13,506.7537411691353,0.41044059518503223,440.4338863953991
286.63928733075034,50,742.4042093697934,0.576703481839131,641.5026711209188
275.31067316393006,28,909.7007007629558,0.8059372096068886,656.1409956323013
117.34602307407887,20,661.6913897636539,0.5430174754769796,490.89399514233753
14.482418793371554,28,585.8029557231698,0.6650386233297361,423.8670221170428
279.21238315044036,8,494.87020784950516,0.7404772092374597,406.8623926122528
134.17340301202114,41,619.7376438155131,0.5249664287799446,513.3581096283382
290.32989752266417,39,419.82620663655626,0.4325488860883157,428.64665312908863
289.44979335588334,1,452.33389918135174,0.877898724083825,395.80304332669795
257.3727420855344,3,578.6717317193566,0.42333102318761323,446.05113085318214
95.39017870017985,13,159.95720115173526,0.46732342206983174,219.7917641369659
121.67834129455832,28,306.1228518323167,0.9904379002083593,314.4490800649341
256.8296347398885,49,588.564379552068,0.010235148340125734,515.65022045425
101.90738149532052,25,488.37532882279834,0.19361818048095525,416.7597464478416
59.15289653896682,33,399.53420732123584,0.3901242510205285,350.45592572213
171.47236611292155,38,757.4942231283713,0.9332640103310004,595.6202400191697
281.4848845066265,6,724.3458466630046,0.07932940868999631,505.31254891704225
211.84864103574216,44,250.05768399404485,0.019390579292213092,348.03760709336365
175.31773932591585,45,890.7662038360944,0.06215699761745631,665.808234430275
38.18118319352288,32,545.881263763569,0.09765797650748195,430.18168117813946
188.35209574275922,45,767.3148200251409,0.04722080547419826,601.1432261197554
297.11561653023637,47,615.8357643316498,0.48498351358793973,544.8478946531019
50.624364418591966,21,997.923354331459,0.5849496351550544,637.714093594251
160.31559918548365,16,777.1628080349404,0.27897010135831407,555.1386373867069
264.43819085910707,21,736.2824151191131,0.4043045101358792,561.6763679346724
224.8228991487193,11,800.7147451456759,0.10078234176031584,546.5582951993864
212.13456488862772,37,228.81518699362266,0.34300675919013784,325.2518966995513
213.7203843562617,36,284.09013385251694,0.5272939997181779,355.4005412957754
114.252433853729,35,742.6576740012528,0.7349490891127987,568.976297548602
95.14163483670308,19,544.5833384177763,0.013312898422549431,425.9766612476006
244.71473508876895,20,779.1717626741049,0.47263765887227605,567.7942394620774
244.93288445696243,18,192.6244276697305,0.3040328476903334,275.6674523669952
261.45097238823007,47,582.8332163361353,0.8542936034749823,539.2960008086584
274.83976024137667,41,440.93940900122413,0.7183977820818995,451.46875482479174
158.28929566967196,49,511.3001973535105,0.5932174491261859,491.2522801350515
155.4397254592879,14,643.5620848652612,0.28449298923980587,488.6859574066787
241.5056019003648,15,552.0595127162771,0.911235711036959,433.80502661701547
198.4895399255519,31,585.8745734015531,0.054649670448119955,497.18683190265205
213.57039440473397,1,537.721733796047,0.118372922692324,409.5680361398012
240.77987413646932,3,468.0596593769439,0.3977138391349525,369.98779307179035
268.10154912709424,16,794.6937825384206,0.13319318172388778,578.4876774945002
108.01859548694539,23,110.98276508624006,0.9568515405838308,224.13427370715743
118.91905626558376,11,638.5984310847043,0.8000094289219495,466.1407220239374
37.25476255385201,12,608.9575125906765,0.26639282508579554,416.5103814827309
177.70124088889045,10,744.5611672596569,0.5926686866835129,530.7338518938288
20.423259401055205,32,639.1264282995938,0.9825072099292808,460.9516152757725
145.02342525841345,16,844.1189450281705,0.885356988350188,596.3501707690278
167.36694406519723,8,963.167315107625,0.6047904619777761,630.2476530966725
93.09696311720248,38,408.27183146068904,0.9046867275035178,398.8817972748021
181.34164556501312,12,304.6158847269883,0.9892930607152254,323.73919966304044
18.845072482324333,24,481.2371761784346,0.7459192946646879,366.28850023637506
20.83097473727218,28,359.1366548281535,0.07433654538806508,321.70448734793735
248.5541625913009,8,653.455236837389,0.4075644340612326,494.49071176524427
114.45528600926623,28,920.6671679586682,0.839447477930413,629.88462616446
46.84754866904659,36,225.2045747287557,0.23826350384696882,294.2499915338172
161.45054541589326,26,190.71514271429783,0.8323360925731184,268.16554445367785
233.29813039859715,8,330.41397866829595,0.12913537441464598,330.522077478945
72.58809797408452,50,753.4860274561607,0.05647590357633488,604.7113689021526
190.63823798751008,28,633.6666147329394,0.3902497053763371,516.7435885561957
34.750764848192716,28,191.99139780267961,0.04636461805234749,219.59457817957954
